[run number],max-accel,initial-tips,waiting-cost,traffic-flow-from-south,switch-probability,signal-NS?,speed-limit,traffic-flow-from-east,cool-down,traffic-flow-from-west,time-window,random-switch?,traffic-flow-from-north,max-brake,[step],average-speed,average-wait,average-drive,pass-car
5,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.762634562,6.475,4.308333333,120
5,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,2.923013123,4.767241379,4.293103448,116
5,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.486183325,6.448818898,4.692913386,127
5,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,2.960872157,4.658333333,4.333333333,120
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,2.997789749,4.741666667,4.375,120
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,2,2.408597737,6.650406504,4.731707317,123
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,3,2.589506914,6.435483871,4.427419355,124
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,4,2.961225144,4.341269841,4.317460317,126
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,5,2.702614735,6.398148148,4.351851852,108
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,6,2.850430285,4.678571429,4.410714286,112
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.776634542,8.826530612,4.244897959,98
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,2.747523485,5.711864407,4.355932203,118
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.977880585,4.893939394,4.265151515,132
6,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,2.860593066,6.198019802,4.267326733,101
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,2.712419207,6.032258065,4.475806452,124
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,2,2.704169914,5.552631579,4.447368421,114
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,3,2.837532572,4.801724138,4.405172414,116
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,4,2.867888181,6.047619048,4.285714286,126
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,5,2.895478991,4.701754386,4.385964912,114
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,6,2.672680087,5.545454545,4.490909091,110
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.478863641,6.575221239,4.646017699,113
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,3.093574071,4.634920635,4.095238095,126
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.798940369,5,4.423423423,111
7,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,3.078980294,3.722689076,4.277310924,119
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,2.92604168,5.949152542,4.313559322,118
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,2,2.757619968,5.641025641,4.358974359,117
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,3,2.974679201,4.830188679,4.169811321,106
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,4,2.935368702,4.299065421,4.317757009,107
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,5,2.775527911,5.58974359,4.487179487,117
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,6,2.679274593,6.028037383,4.252336449,107
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.570909685,6.11023622,4.68503937,127
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,2.873765541,4.465517241,4.353448276,116
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.664238654,5.324074074,4.453703704,108
8,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,2.884617278,4.848739496,4.336134454,119
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,3.10337156,4.111111111,4.238095238,126
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,2,2.671293212,5.469026549,4.371681416,113
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,3,2.834651302,4.90625,4.4140625,128
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,4,2.420127241,6.661157025,4.661157025,121
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,5,2.398797084,8.394230769,4.615384615,104
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,6,2.749473052,5.898148148,4.222222222,108
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.82875557,5.133928571,4.401785714,112
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,2.74631797,5.352459016,4.393442623,122
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.743536024,5.292682927,4.455284553,123
9,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,3.115398283,4.481481481,4.12037037,108
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,1,2.891090757,5.310606061,4.416666667,132
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,2,2.935879926,4.757009346,4.280373832,107
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,3,2.858976498,4.913793103,4.362068966,116
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,4,2.888184941,5.101694915,4.36440678,118
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,5,2.911611596,4.798245614,4.350877193,114
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,6,2.848741554,4.69047619,4.428571429,126
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,7,2.964876015,4.786407767,4.184466019,103
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,8,2.678141965,6.019607843,4.460784314,102
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,9,2.883974781,5.666666667,4.342105263,114
10,3,100,1,10,25,TRUE,5,25,15,25,180,TRUE,10,3,10,2.6785019,5.008264463,4.495867769,121
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,3.176605025,3.463636364,4.2,110
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.745682836,4.866071429,4.4375,112
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.485549263,5.230769231,4.721153846,104
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.998799037,3.631147541,4.467213115,122
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,2.64037269,4.968,4.616,125
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.88634574,4.120689655,4.413793103,116
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,3.119240138,3.794642857,4.169642857,112
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,2.956903867,3.76744186,4.434108527,129
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,3.125949839,3.454545455,4.272727273,132
11,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,2.887154523,4.348837209,4.426356589,129
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,3.221589291,3.333333333,4.216216216,111
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.846614736,4.254237288,4.457627119,118
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.813978333,4.518518519,4.416666667,108
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.870564214,4.375,4.408333333,120
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,2.710906395,5.247863248,4.487179487,117
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.875862247,4.379032258,4.419354839,124
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,2.910840622,4.305785124,4.32231405,121
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,2.79037292,4.487394958,4.487394958,119
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,2.958339448,3.975806452,4.330645161,124
12,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,2.877728767,4.066037736,4.433962264,106
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,2.856761313,4.745283019,4.405660377,106
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.95610162,3.820512821,4.299145299,117
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.940883784,4.191304348,4.243478261,115
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.882483546,4.492063492,4.420634921,126
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,2.73521626,4.699186992,4.455284553,123
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.878680642,3.966942149,4.578512397,121
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,2.448704156,5.527272727,4.772727273,110
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,3.128585275,3.478632479,4.230769231,117
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,2.654146869,5.383333333,4.458333333,120
13,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,2.948893827,4.188976378,4.393700787,127
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,2.781970113,4.45323741,4.64028777,139
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.93903553,3.946969697,4.371212121,132
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.975572877,3.547619048,4.357142857,126
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.772063703,4.395348837,4.527131783,129
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,2.863911995,4.104477612,4.462686567,134
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.962513565,4.047619048,4.333333333,126
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,3.022002416,3.566666667,4.4,120
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,2.913977975,3.720338983,4.389830508,118
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,2.920615332,4.327731092,4.294117647,119
14,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,2.974184069,4.095238095,4.293650794,126
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,3.281082176,3.544,4.088,125
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.963417932,4.094202899,4.326086957,138
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.908305707,4.189781022,4.328467153,137
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.613670205,4.954545455,4.613636364,132
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,3.006002336,3.975806452,4.266129032,124
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.999393325,3.958333333,4.308333333,120
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,2.895584343,4.355932203,4.338983051,118
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,2.732536987,4.674242424,4.5,132
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,2.923517334,4.45,4.325,120
15,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,3.064329871,3.728571429,4.407142857,140
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,3.023991383,3.897959184,4.455782313,147
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.914777659,4.076271186,4.355932203,118
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.850975184,4.669724771,4.412844037,109
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.835807288,4.41221374,4.496183206,131
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,3.074311471,3.830508475,4.194915254,118
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.617771047,5.443478261,4.539130435,115
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,3.092841015,3.46969697,4.25,132
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,2.736238562,4.847457627,4.491525424,118
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,3.003995526,3.622807018,4.412280702,114
16,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,2.737002014,5.01754386,4.526315789,114
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,2.869181126,4.756097561,4.37398374,123
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.922864505,3.925619835,4.347107438,121
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,3.138015937,3.68503937,4.173228346,127
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,3.024767902,3.618181818,4.336363636,110
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,2.880637052,4.675213675,4.256410256,117
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.807504885,4.060344828,4.50862069,116
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,2.854671819,4.52173913,4.443478261,115
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,3.147656631,3.747826087,4.07826087,115
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,2.803868297,4.451327434,4.451327434,113
17,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,2.906903327,4.846153846,4.230769231,130
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,2.870325703,4.147286822,4.457364341,129
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.774568936,4.697247706,4.47706422,109
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.985052777,4.139130435,4.304347826,115
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.71388244,5.014925373,4.544776119,134
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,2.995797883,4.228571429,4.2,105
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.882963982,4.491803279,4.360655738,122
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,2.855579439,4.23015873,4.476190476,126
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,2.929401587,4.067164179,4.313432836,134
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,3.063767587,3.483050847,4.203389831,118
18,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,3.009507022,4.089285714,4.241071429,112
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,3.190441176,3.552631579,4.210526316,114
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.861551554,4.157142857,4.535714286,140
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,3,2.940045213,3.924242424,4.401515152,132
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,4,2.907159414,4.632,4.256,125
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,5,2.967922582,3.896551724,4.379310345,116
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,6,2.924240061,3.983739837,4.398373984,123
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,7,2.840630536,4.388429752,4.487603306,121
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,8,2.89873414,4.396551724,4.327586207,116
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,9,2.769210071,4.285714286,4.571428571,112
19,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,10,2.80566383,4.073770492,4.598360656,122
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,1,3.138706659,3.973684211,4.149122807,114
20,3,100,1,10,25,TRUE,5,25,15,25,180,FALSE,10,3,2,2.750633385,4.831858407,4.451327434,113
